epoch,train_loss,val_loss,train_acc,val_acc
1,0.6234240040893481,0.6306127765846024,0.9125973106864826,0.8743545611015491
2,0.5655622092852538,0.5809035141775878,0.9157820240622788,0.8709122203098106
3,0.5179558513765331,0.5378835848117779,0.9193205944798302,0.8777969018932874
4,0.4766590726460187,0.5021152631514303,0.9207360226468506,0.8760757314974182
5,0.44099769954939205,0.4742780553015245,0.9221514508138712,0.8691910499139415
6,0.4094302612021974,0.4465099223609732,0.9285208775654635,0.8795180722891567
7,0.38292429355866464,0.42611509410700593,0.9274593064401981,0.8760757314974182
8,0.35870307763579035,0.4061097827954191,0.9299363057324841,0.8777969018932874
9,0.33654996347441307,0.3890493349576884,0.9302901627742393,0.8777969018932874
10,0.3173349937936775,0.373433509611538,0.9334748761500353,0.8777969018932874
11,0.3006899289278896,0.3605622282249012,0.9348903043170559,0.8795180722891567
12,0.28544480190299415,0.34803620700643895,0.9348903043170559,0.882960413080895
13,0.2711461431287187,0.33682790808187585,0.9363057324840764,0.8812392426850258
14,0.2578374553167169,0.32961453166935023,0.9380750176928521,0.8812392426850258
15,0.2458318758903938,0.32171660937378027,0.9394904458598726,0.8812392426850258
16,0.23473996898668656,0.31633576294953614,0.9387827317763624,0.8795180722891567
17,0.22441261849734606,0.31004882852448884,0.9401981599433828,0.8812392426850258
18,0.21516737801850752,0.30338696748156674,0.9409058740268932,0.882960413080895
19,0.20660849911854415,0.29913436975721447,0.943382873319179,0.8795180722891567
20,0.19849293488586073,0.29323274470060656,0.9444444444444444,0.882960413080895
21,0.19122484748844337,0.2898320559595901,0.9451521585279548,0.8881239242685026
22,0.18435103690299565,0.2856230049012934,0.9462137296532201,0.8881239242685026
23,0.17787722370232614,0.2831439998397872,0.9493984430290163,0.8864027538726333
24,0.1716774381489878,0.28087532533392584,0.9508138711960368,0.8864027538726333
25,0.16563876118261234,0.2794453893116025,0.9518754423213022,0.8846815834767642
26,0.16018059437727136,0.27571445655394766,0.9525831564048125,0.8864027538726333
27,0.15477344253261627,0.27444287053778416,0.9536447275300779,0.8881239242685026
28,0.14979289273272137,0.27301804606583113,0.9554140127388535,0.8898450946643718
29,0.14492799754459806,0.27160293958654974,0.9571832979476291,0.8864027538726333
30,0.1403115945674974,0.26897815488522214,0.9582448690728945,0.8881239242685026
31,0.1363011630264224,0.26708603491696836,0.9589525831564049,0.8864027538726333
32,0.13196002519736946,0.26612348988512635,0.9603680113234253,0.8881239242685026
33,0.12771284470052677,0.26402441033139146,0.9617834394904459,0.8864027538726333
34,0.12389122692453367,0.2637463898204753,0.9628450106157113,0.8846815834767642
35,0.11999852237326568,0.2642101400584875,0.9631988676574664,0.8846815834767642
36,0.11667682763514073,0.26470715809226,0.9653220099079972,0.891566265060241
37,0.11316589607465823,0.2631028405895193,0.9656758669497523,0.8864027538726333
38,0.11019767717745271,0.26477801677192125,0.9667374380750177,0.8881239242685026
39,0.10722260079770367,0.2641696040712673,0.967445152158528,0.8864027538726333
40,0.1041330188836461,0.26638351615194605,0.9699221514508138,0.8812392426850258
41,0.10130024385701257,0.26734973904731113,0.970276008492569,0.882960413080895
42,0.0985183307208967,0.26695361218434993,0.9720452937013446,0.8864027538726333
43,0.09582573620612186,0.2655930853917378,0.9734607218683652,0.8864027538726333
44,0.09333323016006574,0.26581193687031435,0.9752300070771408,0.8898450946643718
45,0.09080033882131334,0.26663001957665433,0.9766454352441614,0.8881239242685026
46,0.08850116846143398,0.2669719344633443,0.978414720452937,0.8898450946643718
47,0.08633517365415509,0.26665514798302836,0.9794762915782024,0.8846815834767642
48,0.08398759208392029,0.2655419135584751,0.9819532908704883,0.8898450946643718
49,0.08137514638773446,0.2648118623955589,0.9840764331210191,0.891566265060241
50,0.07931992945771676,0.26532178527075134,0.9844302901627743,0.8932874354561101
