epoch,train_loss,val_loss,train_acc,val_acc
1,0.37401006548045596,0.39899966148529137,0.8747346072186837,0.8691910499139415
2,0.32844617736213844,0.37230948149308274,0.892073602264685,0.8777969018932874
3,0.2962373810258814,0.32499032907036696,0.8970276008492569,0.8795180722891566
4,0.2639196947902815,0.3467361512393394,0.9026893135173389,0.882960413080895
5,0.23500833668950113,0.3545687318604045,0.9203821656050956,0.8846815834767642
6,0.20125403018357074,0.763737538195077,0.9327671620665251,0.8760757314974182
7,0.17587055281142716,1.4313088823083824,0.9401981599433828,0.8777969018932874
8,0.15138270021412514,2.095559210101197,0.9529370134465676,0.8709122203098106
9,0.1295236680016261,2.2737265122900365,0.9628450106157113,0.8743545611015491
10,0.11446886125042427,3.4425767361600195,0.9670912951167728,0.8640275387263339
11,0.09977645176662041,3.631198904519139,0.9716914366595896,0.8623063683304647
12,0.08635090645377173,4.066544685790809,0.975583864118896,0.8640275387263339
13,0.07552759831840831,4.558145096724238,0.9777070063694268,0.8554216867469879
14,0.0630266046433491,5.0277068676009415,0.9823071479122435,0.8450946643717728
15,0.05248140654038586,4.90779501865994,0.9858457183297947,0.8502581755593803
16,0.041947262816159576,4.899027558712153,0.9890304317055909,0.846815834767642
17,0.034304435384246615,5.074285933807125,0.9911535739561217,0.846815834767642
18,0.031160185151272515,5.0072295385238315,0.9922151450813871,0.8502581755593803
19,0.021425350888099395,5.480241767958673,0.994692144373673,0.8433734939759037
20,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
21,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
22,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
23,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
24,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
25,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
26,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
27,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
28,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
29,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
30,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
31,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
32,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
33,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
34,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
35,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
36,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
37,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
38,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
39,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
40,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
41,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
42,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
43,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
44,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
45,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
46,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
47,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
48,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
49,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
50,0.020955989122655654,5.2482158758677775,0.9950460014154282,0.846815834767642
