epoch,train_loss,val_loss,train_acc,val_acc
1,0.6388562101572858,0.6873465824147715,0.5,0.3907056798623064
2,0.5789359131457531,0.6319945552057735,0.6553432413305025,0.5869191049913942
3,0.528861364266675,0.5849064620349576,0.8786270346779901,0.810671256454389
4,0.4861196404176659,0.5439103529908776,0.916135881104034,0.8399311531841652
5,0.449318888176019,0.5088644225708179,0.9179051663128096,0.8433734939759037
6,0.4169814728796271,0.47908132934939635,0.9327671620665251,0.8605851979345955
7,0.3891532169964747,0.45413233575742956,0.935244161358811,0.8674698795180723
8,0.36363719840865566,0.43369701599602856,0.937721160651097,0.8726333907056798
9,0.34192661970579613,0.4142715925296284,0.9387827317763624,0.8743545611015491
10,0.3224504686370017,0.3982487329876567,0.9391365888181175,0.8743545611015491
11,0.30532485497120165,0.38368016030004637,0.9391365888181175,0.8743545611015491
12,0.2886313612125313,0.37066583807312475,0.9394904458598726,0.8812392426850258
13,0.27413045095051763,0.36091258011360794,0.9401981599433828,0.882960413080895
14,0.2613568302620959,0.3511131026120071,0.9419674451521586,0.8795180722891567
15,0.24892517378829257,0.3433559329189655,0.9455060155697098,0.882960413080895
16,0.23765866717841722,0.3340685080076454,0.9462137296532201,0.8812392426850258
17,0.22770916373961292,0.3281711136309908,0.9472753007784855,0.8864027538726333
18,0.21822615553376443,0.3208059058388416,0.9483368719037508,0.8864027538726333
19,0.20982643579754395,0.3153932623744729,0.9490445859872612,0.8881239242685026
20,0.20229433818871217,0.3105019808148968,0.9511677282377919,0.891566265060241
21,0.1944934298117597,0.3063997540578067,0.9525831564048124,0.8898450946643718
22,0.18852001640046648,0.30258402078959085,0.953998584571833,0.8881239242685026
23,0.18266182600982586,0.3008624799677817,0.9543524416135881,0.8898450946643718
24,0.17755968261560226,0.2964522942913481,0.9536447275300779,0.8898450946643718
25,0.1721794021336305,0.29449754199990924,0.9550601556970983,0.8864027538726333
26,0.1679403785080962,0.2924178888710302,0.9554140127388535,0.8846815834767642
27,0.16269408151512652,0.29070326626275167,0.9571832979476291,0.882960413080895
28,0.1576678211110666,0.2883941496845828,0.9589525831564049,0.8846815834767642
29,0.15333730394385825,0.2875294909490314,0.9603680113234253,0.8864027538726333
30,0.14903982221864043,0.28507124646061877,0.9600141542816703,0.8864027538726333
31,0.14552226100810353,0.284597232155566,0.9628450106157113,0.8846815834767642
32,0.14216709805300534,0.2825531619352492,0.9628450106157113,0.8864027538726333
33,0.13964374061813611,0.28109174424208533,0.9635527246992215,0.8864027538726333
34,0.13651084208858358,0.2796721766925643,0.9639065817409767,0.8881239242685026
35,0.13391947008633784,0.2792665757136275,0.9660297239915074,0.8898450946643718
36,0.13153821056654647,0.2778862116140235,0.9663835810332626,0.8898450946643718
37,0.12913334660953132,0.2772123092134674,0.9670912951167728,0.8881239242685026
38,0.12553990920886968,0.2774167456143181,0.967445152158528,0.8846815834767642
39,0.12318444953735731,0.2778576067127864,0.9670912951167728,0.882960413080895
40,0.12124346380493745,0.2771019608587052,0.967445152158528,0.8864027538726333
41,0.11866914293704382,0.2757064150742507,0.9688605803255484,0.8881239242685026
42,0.11638797546281451,0.276198426364134,0.9688605803255484,0.8864027538726333
43,0.11440619310002935,0.27607261208839806,0.9699221514508138,0.8864027538726333
44,0.11304544623211549,0.27554861159927874,0.9706298655343242,0.8864027538726333
45,0.11114912065618025,0.2754164080194834,0.9713375796178344,0.8846815834767642
46,0.10930960411116908,0.2758441796139998,0.9716914366595896,0.8846815834767642
47,0.10698127240879805,0.2755119142694825,0.9734607218683652,0.8846815834767642
48,0.10547038697804373,0.2746622872089233,0.9738145789101204,0.8846815834767642
49,0.10388637817351402,0.2745429305708366,0.9745222929936306,0.8864027538726333
50,0.10256525609867682,0.2747494407605681,0.9752300070771408,0.8864027538726333
