Model,Accuracy,Precision,Recall,F1-Score,PR-AUC
Logistic Regression,0.8946269808297229,0.8742431503473951,0.8540149934307134,0.8639047978144296,0.9417487838147167
Decision Tree,0.8808504955783727,0.8702442746332585,0.8179573382796198,0.8431413716118759,0.8356568707425028
Random Forest,0.9063297525075672,0.9116471391238867,0.842568977509854,0.875619832202862,0.9466788832000559
XGBoost,0.9025467386788533,0.9083708667642499,0.8355437050776722,0.8703537319488589,0.9435901096282461
LightGBM,0.9022001305715472,0.9130520590236463,0.8293763041966148,0.8691774014985695,0.9435624043759375
CatBoost,0.9087423585969493,0.91400116758169,0.8469742638534662,0.8790879317156955,0.9479142687956419
